B2,B3,B4,B8,rh98,region
0.03065,0.04855,0.0317,0.2819,18.93000030517578,WesternGhats
0.03185,0.0525,0.0437,0.2644,20.530001,WesternGhats
0.0267,0.0434,0.0276,0.2609,23.15999984741211,WesternGhats
0.024,0.0405,0.0233,0.24925,21.020000457763672,WesternGhats
0.02725,0.04815,0.0374,0.13825,6.090000152587891,WesternGhats
0.0518,0.0733,0.0954,0.2383,10.770000457763672,WesternGhats
0.0332,0.053,0.0399,0.23835,18.25,WesternGhats
0.0283,0.0469,0.0284,0.2825,14.619999885559082,WesternGhats
0.0288,0.0454,0.0284,0.278,15.699999809265137,WesternGhats
0.0244,0.04075,0.0303,0.2523,21.079999923706055,WesternGhats
0.03105,0.04625,0.03545,0.24655,23.59000015258789,WesternGhats
0.0452,0.07075,0.06815,0.30195,4.110000133514404,WesternGhats
0.0315,0.0505,0.0363,0.2577,27.06999969482422,WesternGhats
0.0274,0.042,0.0311,0.2202,21.75,WesternGhats
0.03455,0.05665,0.0386,0.31855,14.0600004196167,WesternGhats
0.02785,0.04625,0.032,0.2785,11.229999542236328,WesternGhats
0.0566,0.074,0.0864,0.2289,12.1899995803833,WesternGhats
0.0262,0.0529,0.0301,0.317,17.309999,WesternGhats
0.02675,0.04705,0.0314,0.28465,21.639999,WesternGhats
0.02495,0.0417,0.02725,0.2591,23.59000015258789,WesternGhats
0.0292,0.046,0.0358,0.2586,23.959999,WesternGhats
0.0307,0.0491,0.041,0.2865,19.649999618530273,WesternGhats
0.0281,0.047,0.0345,0.3079,21.56999969482422,WesternGhats
0.0322,0.0503,0.0444,0.2526,25.610001,WesternGhats
0.0271,0.0399,0.03035,0.2134,32.0,WesternGhats
0.03715,0.05475,0.041,0.28615,24.40999984741211,WesternGhats
0.0602,0.0871,0.0843,0.25005,2.390000104904175,WesternGhats
0.04625,0.0693,0.0751,0.28515,9.399999618530273,WesternGhats
0.03,0.0445,0.0327,0.2802,14.270000457763672,WesternGhats
0.0337,0.054,0.0387,0.2899,7.599999904632568,WesternGhats
0.0596,0.0806,0.1047,0.264,4.119999885559082,WesternGhats
0.0318,0.0497,0.0321,0.3135,16.700001,WesternGhats
0.0478,0.0668,0.0725,0.247,17.719999,WesternGhats
0.0383,0.0569,0.0448,0.2591,11.229999542236328,WesternGhats
0.03145,0.0479,0.0325,0.27695,19.110001,WesternGhats
0.0583,0.08795,0.1049,0.2304,21.239999771118164,WesternGhats
0.0735,0.1037,0.129,0.2855,3.440000057220459,WesternGhats
0.02645,0.0452,0.0268,0.2477,16.219999,WesternGhats
0.0283,0.0469,0.0311,0.2452,10.069999694824219,WesternGhats
0.0374,0.0575,0.0527,0.2271,17.149999618530273,WesternGhats
0.02495,0.0475,0.0276,0.2818,18.540001,WesternGhats
0.0292,0.0503,0.03675,0.2715,20.149999618530273,WesternGhats
0.0335,0.0528,0.0374,0.2403,33.40999984741211,WesternGhats
0.0288,0.05005,0.0293,0.2448,23.81999969482422,WesternGhats
0.0627,0.09475,0.12465,0.2648,3.549999952316284,WesternGhats
0.0352,0.0564,0.0596,0.2443,17.709999,WesternGhats
0.0365,0.0528,0.0404,0.2563,12.960000038146973,WesternGhats
0.0821,0.1104,0.1361,0.2788,7.170000076293945,WesternGhats
0.0588,0.0806,0.0895,0.2463,8.989999771118164,WesternGhats
0.06155,0.07895,0.0948,0.22965,10.300000190734863,WesternGhats
0.0418,0.0596,0.04135,0.2765,13.890000343322754,WesternGhats
0.03065,0.05115,0.0324,0.2922,23.709999,WesternGhats
0.0647,0.0934,0.11045,0.2637,2.5799999237060547,WesternGhats
0.057425,0.08675,0.11235,0.26878333,2.759999990463257,WesternGhats
0.0448,0.0693,0.059525,0.2548,2.690000057220459,WesternGhats
0.0399,0.0635,0.048933335,0.2652,5.760000228881836,WesternGhats
0.04665,0.07095,0.07095,0.26626,4.359999895095825,WesternGhats
0.0266,0.0459,0.0264,0.27886668,13.09000015258789,WesternGhats
0.0277,0.04705,0.0268,0.2728,18.84000015258789,WesternGhats
0.0288,0.0494,0.0306,0.2803,18.260000228881836,WesternGhats
0.02955,0.044,0.033875,0.21971667,10.960000038146973,WesternGhats
0.05265,0.0773,0.08825,0.27855,11.970000267028809,WesternGhats
0.035933334,0.055,0.0441,0.26326665,14.890000343322754,WesternGhats
0.0397,0.06395,0.0614,0.3027,14.890000343322754,WesternGhats
0.04965,0.0731,0.0868,0.266025,3.8499999046325684,WesternGhats
0.026875,0.0436,0.03015,0.2491,19.56999969482422,WesternGhats
0.03225,0.05285,0.033175,0.26163334,11.829999923706055,WesternGhats
0.03135,0.0551,0.03355,0.30465,15.430000305175781,WesternGhats
0.076,0.11695,0.188,0.2783,2.4700000286102295,WesternGhats
0.029,0.047,0.033,0.2749,12.609999656677246,WesternGhats
0.0475,0.07355,0.06795,0.29995,14.59000015258789,WesternGhats
0.0303,0.0531,0.0308,0.2763,12.920000076293945,WesternGhats
0.0319,0.0534,0.0332,0.2818,7.860000133514404,WesternGhats
0.0339,0.0511,0.0412,0.2405,5.980000019073486,WesternGhats
0.07945,0.11585,0.126,0.3124,2.5,WesternGhats
0.0392,0.0597,0.0547,0.2923,10.220000267028809,WesternGhats
0.0375,0.0551,0.0512,0.2119,7.0,WesternGhats
0.04575,0.0676,0.0712,0.23965,2.5,WesternGhats
0.0298,0.0494,0.0366,0.2894,24.15999984741211,WesternGhats
0.0402,0.0618,0.0517,0.2934,11.819999694824219,WesternGhats
0.041,0.0616,0.0409,0.30805,14.760000228881836,WesternGhats
0.0426,0.06475,0.0495,0.3004,14.079999923706055,WesternGhats
0.0261,0.0316,0.0204,0.0356,2.4700000286102295,WesternGhats
0.02885,0.04705,0.0301,0.2902,21.010000228881836,WesternGhats
0.0311,0.04935,0.0393,0.24995,19.290001,WesternGhats
0.0314,0.0483,0.0337,0.2441,15.880000114440918,WesternGhats
0.04,0.0628,0.04695,0.2742,13.369999885559082,WesternGhats
0.02845,0.04785,0.0319,0.26215,13.350000381469727,WesternGhats
0.031,0.0537,0.03625,0.2784,22.40999984741211,WesternGhats
0.0298,0.0539,0.0319,0.2887,17.489999771118164,WesternGhats
0.028,0.047,0.0297,0.2573,19.129999,WesternGhats
0.0284,0.0469,0.0307,0.2682,8.420000076293945,WesternGhats
0.0322,0.0569,0.0385,0.2581,15.699999809265137,WesternGhats
0.02945,0.0485,0.0316,0.2611,11.529999732971191,WesternGhats
